id,id_umf,UMF,FLONA,UPA,COD_UPA,id_upa,Conces,Processo,Contrato,Ano_POA,status,AUTEX,Safra,Vol_IF,Vol_Aut,Vol_Exp,Rev_AUTEX,n_arv_inv,n_arv_aut,area_upa,n_UT,n_arv_exp
"143",ALT1,"1",Altamira,"5",1E,ATM01-05,RRX Mineração e Serviços LTDA,02018.000387/2016-14,03/2023,"2023",Explorando,1015.2.2023.13270,2023-2024,45021.0345000000,10094.2972000000,,,"10346","1659",1500.430000000000,"6",
"144",CRP3,"3",Crepori,"1",3A,CRP03-01,Brasadoc Timber Com de Madeiras LTDA,02018.000302/2015-17,004/2014,"2023",Em Homologação,1015.2.2023.24318,2023-2024,86919.1980000000,33860.6493000000,,,"35807","4523",1702.100000000000,"14",
"145",S-T1B,1B,Saracá-Taquera,"9","9",SCQ1B-09,SAMISE Ind Com e Exp de Madeiras LTDA,02018.100842/2017-53,02/2014,"2023",Suspena,1015.2.2023.08028,2023-2024,73681.7800000000,28823.9399000000,,"1","14364","4667",2014.400000000000,"20",
"146",S-T1A,1A,Saracá-Taquera,"10","10",SCQ1A-10,EBATA Produtos Florestais LTDA,02018.002432/2014-03,,"2024",Homologação,1015.2.2024.36446,2024-2025,27222.3261000000,14625.0119000000,,,"7054","3155",700.000000000000,"4",
"147",S-T1B,1B,Saracá-Taquera,"10","10",SCQ1B-10,SAMISE Ind Com e Exp de Madeiras LTDA,02018.100842/2017-53,02/2014,"2024",Explorando,1015.2.2024.41345,2024-2025,108926.6000000000,50800.7070000000,,,"25858","9416",2552.870000000000,"29",
"148",S-T2,"2",Saracá-Taquera,"13","13",SCQ02-13,EBATA Produtos Florestais LTDA,02018.000225/2011-63,01/2009,"2024",Explorando,1015.2.2024.36595,2024-2025,43101.3711000000,23184.1007000000,,,"9742","4780",950.000000000000,"2",
"151",ALT1,"1",Altamira,"6",1F,ATM01-06,RRX Mineração e Serviços LTDA,02018.000387/2016-14,03/2023,"2024",Revisão Pendência,,2024-2025,69993.7557000000,,,,"13818",,1500.546200000000,"11",
"152",CXN1,"1",Caxiuanã,"6","6",CXN01-06,Benevides Madeiras LTDA,02018.102808/2017-13,01/2015,"2024",Explorando,1015.2.2024.38518,2024-2025,88578.6962000000,40365.7876000000,,,"22218","9279",2269.376800000000,"22",
"153",ALT2,"2",Altamira,"7",2G,ATM02-07,RRX Mineração e Serviços LTDA,02018.000388/2016-51,03/2013,"2024",Explorando,1015.2.2024.43255,2024-2025,92435.9567000000,31982.6002000000,,,"15199","4693",3601.242400000000,"33",
"155",CXN2,"2",Caxiuanã,"11","11",CXN02-11,Benevides Madeiras LTDA,02018.102810/2017-92,02/2015,,Exploração Futura,,,,,,,,,,,
"156",CXN2,"2",Caxiuanã,"6","6",CXN02-06,Benevides Madeiras LTDA,02018.102810/2017-92,02/2015,,Exploração Futura,,,,,,,,,,,
"157",CXN2,"2",Caxiuanã,,,,Benevides Madeiras LTDA,02018.102810/2017-92,02/2015,,,,,,,,,,,,,
"158",CXN2,"2",Caxiuanã,"17","17",CXN02-17,Benevides Madeiras LTDA,02018.102810/2017-92,02/2015,,Exploração Futura,,,,,,,,,,,
"159",CXN2,"2",Caxiuanã,"18","18",CXN02-18,Benevides Madeiras LTDA,02018.102810/2017-92,02/2015,,Exploração Futura,,,,,,,,,,,
"160",ALT3,"3",Altamira,"8",3H,ATM03-08,Patauá Florestal SPE LTDA,02018.002000/2015-75,03/2015,"2024",Explorando,1015.2.2024.40864,2024-2025,219278.0448000000,80849.6655000000,,,"34711","10328",3643.360000000000,"33",
"158",CRP2,"2",Crepori,"2",2B,CRP02-02,Brasadoc Timber Com de Madeiras LTDA,02018.000303/2015-53,03/2014,"2024",Explorando,1015.2.2024.49259,2024-2025,183224.5900000000,64840.5900000000,,,"28288","8410",6317.410000000000,,
